연번,공원명,면적,개원일,주요시설,주요식물,지역,공원주소,주소,읍면동명,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84)
1,남산도시자연공원,2896887㎡ 임 야 : 2454140㎡ 녹지대 및 기타시설 : 442747㎡,1968.9.10,기반시설 : 광장 45950㎡ 도로 108530㎡ 산책로 6.7㎞ (북측:3.7㎞/남측:3.0㎞) 조경시설 : 연못 1개소(1078㎡) 파고라 분수대 그늘시렁 운동시설 : 테니스장 야구장 궁도장 배드민턴장 교양시설 : 도서관 야외식물원 안중근의사 기념관 편익시설 : 주차장 매점 음수대 팔각정 화장실 밴치 타워전망대 기타시설 : 순환도로 18.9㎞,소나무 단풍 아카시아 상수리나무 등 191종 2881870주,중구,서울특별시 중구 삼일대로 231(예장동),중구 삼일대로 231,필동,198364.107,450395.554,126.9903773,37.5501402
2,길동생태공원,80683㎡,1999.5.20,탐방객안내소 야외전시대 관찰대 목재데크 조류관찰대 길동생태문화센터,소나무 보리수 등 64종 31800주 산국 부들 등 138종 192800본,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,강동구 천호대로 1291,길동,213554.12,448852.675,127.1547791,37.5403935
4,서울숲,480994㎡,2005.6.18,4개 테마공원: 문화예술공원 자연생태숲 자연체험학습원 습지생태원 주요시설: 가족마당 야외무대 사슴우리 곤충식물원 체육시설 놀이터 산책로 등 ,수 목 : 소나무 섬잣나무 계수나무 외 95종 415795주 식물원 : 선인장 등 231종 7755본 초 화 : 개미취 구절초 갈대 외 8종 3250본,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,성동구 뚝섬로 273,성수1가제1동,203695.432,449290.726,127.0417982,37.5430717
5,월드컵공원,2284085㎡,2002.5.1,평화의 공원 월드컵공원전시관(879㎡) 유니세프광장(2400㎡) 평화광장(5217㎡) 난지연못(24522㎡) 휴게소2개소 화장실 6개소 음수전 2개소 별자리광장(2800㎡) 잔디광장(15110㎡) 야외전시장(5145㎡) 모험놀이터(1133㎡) 피크닉장(멍석20개) 테니스장 2면 평화의정원 1개소 주차장(1242면) 에너지제로하우스 하늘공원 탐방객안내소(103㎡) 풍력발전기 5개소 전망대 20개소 화장실 5개소 음수전 4개소 하늘계단 하늘을 담는 그릇 초지(109567㎡) 난지천공원 인조잔디축구장 게이트볼장(1188㎡) 농구장(420㎡) 음수전 4개소 화장실 5개소 배드민턴장(328㎡) 다목적구장(3240㎡) 장애인놀이터(1591㎡) 어린이놀이터(706㎡) 매점 2개소 잔디광장(16193㎡) 오리연못(3600㎡) 주차장(난지천 196면 임시주차장 250면 장애인주차장 53면) 노을공원 관찰?쉼터데크 전망데크 바람의광장 누에생태체험장 노을캠핑장 파크골프장 노을계단 조각 작품 10 반딧불이 관찰원 커뮤니티센터 난지창작스튜디오 희망의숲 등 매립지 사면 달리기코스(난지순환길 5.8㎞) 수림대 사면녹화 기타시설 지역난방공사 자원회수시설 수소충전시설 수소발전시설 ,,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),마포구 하늘공원로 84,상암동,190658.07,451598.831,126.878907,37.571805
6,광화문시민열린마당,8948.1㎡,1999.1.1,조 경 시 설 : 육조상징벽 6개소 전통담장 4개소 열주 22조 화계6개소 편 익 시 설 : 화강석의자 35조 관 리 시 설 : 광장등 4본 정원등 23본 투사등 28본 열주내장등 22본 기 반 시 설 : 열린마당 3280㎡ 육조마당 920㎡ 휴게마당 1670㎡ 녹지대 3078㎡ 대형전용 주차장 : 9면 ,수 목 : 소나무 느티나무 배롱나무등 27종 5535주 초 화 : 맥문동 꽃창포 수련등 3692본 ,종로구,서울특별시 종로구 세종로 76-2,종로구 세종로 76-2,청운효자동,198054.179,452832.049,126.9780227,37.5750449
7,진관근린공원(구파발폭포),휴양 및 편익시설 : 평의자 7개 화장실 23.18㎡ 조경시설 - 은하폭포(높이 12m × 폭10m 발원지로부터 17.3m 폭 1.5 ~ 10m 수조 255㎡ 담수량 140t) - 산성폭포(높이 5m×폭 12m 수조 90㎡ 담수량 75t)- 명속의 벽 1개소(높이 5.4m) 교양시설 : 야외공연무대 102㎡ 관리시설 : 관리실 8.55㎡ 전기실 51.03㎡ 기계실 83.36㎡ 안내판 1개 공원 등 18본 휴양시설 : 벤취 12개 ,1997.10.1,폭포 야외무대,수 목 : 소나무 잣나무 주목 느티나무 은행나무 등 29종 6515주 초 화 : 구절초 참나리 비비추 돌나물 벌개미취 등 7종 4358본 ,은평구,서울특별시 은평구 진관동 393,은평구 진관동 393,진관동,192864.424,459694.746,126.9192155,37.6370244
8,중마루근린공원,6456㎥,1997.11.25 ,기반시설 : 광장 200㎡ 산책 등산로 0.50㎞ 편익시설 : 광장  의자 휴지통 음수대 공원등 등 편익시설 : 파고라 연못 1개소(150㎡) 그늘시렁 등 휴양시설 : 정자,수 목 : 소나무 느티나무 외 43종 3580주 초 화 : 비비추 옥잠화외 25종 11580본,영등포구,서울특별시 영등포구 영등포동2가 222,영등포구 영등포동2가 222,영등포동,192162.09,446711.963,126.9112668,37.519832
9,응봉공원,80309㎡ 배수지 시설용량 : 201.000㎥ 송수 펌프용량 : 직송급수계통 30000㎥/일 금호배수지계통 16400㎥/일 ,2003.2.21 ,조경시설 : 파고라 외 222소 운동시설 : 잔디광장 테니스장 2면 게이트볼장 배드민턴장 6면 다목적경기장 등 편익시설 : 음수대 화장실 2동 등 기타시설 : 관리동 등 ,아까시나무 소나무 살구나무 개나리,성동구,서울특별시 성동구 금호동1가 산1-72,성동구 금호동 1가 산 1-72,금호1가동,201884.862,450829.348,127.0217653,37.5572281
10,매화근린공원,1980.4㎡   ,1998.6.18 ,상징조형물 팔각정자 사각파고라 음수전 ,소나무 느티나무 등 29종 9912주  ,강서구,서울특별시 강서구 등촌동 630-14,강서구 등촌동 630-14,등촌제1동,187712.085,450892.604,126.86115,37.5575833
11,성수근린공원,5197.7㎡ ,1998.5.28 ,조경시설 : 그늘시렁 4개소 돌담 2개소(251.31M) 돌담 장식대 84개소 운동시설 : 농구장 176.6㎡ 배드민턴장 2면 편익시설 : 음수대 1개소 벤취 38개소 광장 706㎡ 관리시설 : 공원등 12본 (잔디등 6개소 투시등 2개소),수 목 : 소나무 계수나무 감나무 등 20종 2844주 초 화 : 수호초 꽃잔디 애기나리 등 13종 9980본 ,성동구,서울특별시 성동구 성수2가 3동 302-25,성동구 성수2가 3동 302-25,성수2가제3동,204637.837,449470.206,127.0524023,37.5448144
12,샛마을근린공원,11467㎡ ,1999.5.31,농구대 2개소 체력단련시설 놀이터 다목적운동장 연못1개,느티나무 단풍나무 등 28종 10197주 원추리 수호초 맥문동 등 3종 5710본,강동구,서울특별시 강동구 명일1동 288,강동구 명일1동 288,명일제1동,212935.156,450185.001,127.1471618,37.5504807
13,여의도근린공원,229539㎡,1999.1.24 ,건축물 : 8동 - 관리사무실(7.9㎡) 편의점3동(각 29.7㎡) 화장실7동(각104.28㎡)팔각정(27.72㎡) 사모정(8.91㎡) 공원지구대(264㎡) 공원파출소     - 자전거 도로 : 2.4km(폭4~6m) 산책로 : 3.9km(폭 2m)     - 한강둔치 연결 지하보도 : 120m(높이 2.5m 폭 8m)     - 공원등 : 334개소     - 스프링클러 : 6.4km 155개소     - 광장 : 24735㎡(7482평)     - 자전거보관대 : 2개소(16대)     - 연못 : 3개소 4848㎡( 지당연못 3530㎡ 생태연못 730㎡ 잔디마당연못 588㎡) ,수 목 : 소나무 느티나무 은행나무 마가목 자작나무 무궁화 좀작살 라일락 산수유 구상나무 계수나무 모과나무 정향나무 등 교목 87종 13863주 관목 45종 205051주     - 초 화 : 32종 342866본    ,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),영등포구 여의공원로 68,여의동,193224.42,447495.851,126.922377,37.526129
14,간데메근린공원,15179.7 ㎡ ,,,,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),동대문구 서울시립대로2길 59,답십리제1동,204339.82,452584.376,127.0488644,37.5732438
15,훈련원근린공원,16734.60㎥ ,1997.6.30,편익시설 : 관리실(29.30㎡) 화장실(33.62㎡) 벤취 34 조경시설 : 수목 소나무외 26종 22771주 잔디 9039㎡ (2734평) 파고라 1 음수대 1계류천 벽천 안개분수 ,수 목 : 소나무외 26종 22771주 초화류 : 비비추 맥문동 새덤 등 9600본 잔디 9029㎡ ,중구,서울특별시 중구 을지로 227,중구 을지로 227,을지로동,200301.274,451995.862,127.0038188,37.5675245
16,영등포근린공원,61544㎡ 녹지대 : 40792㎡ 광 장 : 6600㎡ 기 타 : 14152㎡,1998.7.8,관리시설 : 관리사무소 공원등 안내판 조경시설 : 음악분수 파고라 연못 개울 벽천 잔디밭 운동시설 : 농구장 배드민턴장 풋살경기장 편익시설 : 주차장 공중전화 음수전 화장실 의자 휴양시설 : 야외정자,수 목 : 소나무 층층나무 등 56종 50551주 초 화 : 옥잠화 각시붓꽃 등 38종 26945본,영등포구,서울특별시 영등포구 신길로 275,영등포구 신길로 275,영등포본동,192126.06,446207.767,126.910662,37.515423
17,보라매근린공원,424106㎡ ,1986.5.5,조경시설 : 잔디마당 수경시설(연못 벽천 등) 철쭉동산 무궁화동산 등 운동시설 : 조깅트랙 인조잔디축구장 테니스장 다목적운동장 베드민턴장 인공암벽등반장 게이트볼장 지압보도 헬스시설(평행봉 등 28종) 편익시설 : 주차장 매점 음수대 팔각정 화장실 벤치 유희시설 : 어린이놀이터  피크닉장 바닥분수 에어파크 교양시설 : 청소년수련관 시민안전체험관 동작구민회관 보안시설 : 시설물관리 감시용 CCTV 38대 24시간 녹화가동 중 기타시설 : 관악노인종합복지관 서울시지적장애인복지관 서울시남부장애인복지관 동작경찰서 지구대파견소 ※ 신림 경전철 공사로 인해 농구장 X-game장 인라인스케이트장은 폐쇄 ,은행 느티 버즘 모감주 소나무 병꽃나무 등 105종 334671주,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),동작구 여의대방로20길 33,신대방제2동,192880.784,443935.417,126.918289,37.492333
18,어린이대공원,560552㎡,1973.5.5 ,교양시설：41개소(야외음악당 등) 조경시설：14개소(분수대 등) 유희시설：45종(놀이동산 등)   편의시설：110개소(식당 등) 동 물 원：105종 621마리 식 물 원：373종 5977 본 ,수목：143종 408천주,광진구,서울특별시 광진구 능동로 216(어린이대공원),광진구 능동로 216,능동,207108.865,449977.62,127.0809212,37.5498987
19,천호근린공원,26696.8㎥ ,1998.6.20 ,기반시설 : 광장 1300㎡ 조경시설 : 연못 1개소 888㎡(음악분수 108) 운동시설 : 배드민턴코트 4면 600㎡(182평) 농구대 4조 족구장 442㎡(134평) 체력단련시설 32조 체력단련시설 상세 : 허리돌리기 4 철봉 3 옆파도타기 3 공중걷기 2 오금펴기 1 레그익스텐션 1 윗몸일으키기 1 로프당기기 2 팔내리기운동 1 벤치프레스 4 체스트웨이트 1 렛풀다운 1 팩덱머신 1 노젓기운동 1 양다리운동 2 상체근육풀기 2 다리운동 1 양회전운동 1 등?허리지압기 1 온몸역도올리기 3 버터플라이 1 교양시설 : 야외무대 1개소 213㎡ 도서관 473㎡ 편의시설 : 벤치(등받이) 64 벤치 40 팔각정자 1개소 평상 17 원형테이블 2 피크닉테이블 27 음수대 2 관리시설 : 공원등 58본 감시카메라 5본 서치라이트 2조 스피커 34개 음악분수제어실 1 ,수 목 : 소나무 잣나무 대추나무 감나무 등 72종 11 876주 초 화 : 꽃창포 구절포 비비추 복수초 맥문동 등 33종 19680본 ,강동구,서울특별시 강동구 올림픽로 702(천호공원),강동구 올림픽로 702,천호제2동,211094.883,449373.595,127.1263451,37.5444741
20,용산가족공원,75900㎡,1992.11.5 ,조경시설 : 잔디광장 연못 4개소(6740㎡) 정자3 원두막2 자연학습장 맨발공원 태극기공원 운동시설 : 철봉 평행봉 역기 윗몸일으키기 등배치기 등 13점 편익시설 : 주차장(50대) 음수대 공중전화 화장실 벤치 자동판매기 교양시설 : 국제조각품 9점 기타시설 : 야외예식장 빗물펌프장 공원가로등(59본 118등),수 목 : 은행 느티 버즘 잣나무 산사 구상나무 등 70종 45000주 동 물 : 호로새 공작 토끼 등 5종 33수 ,용산구,서울특별시 용산구 서빙고로 185,용산구 서빙고로 185,서빙고동,198680.6,446756.9,126.983335,37.522226
21,독립근린공원,113021.7m2,1992.8.15,방문자센터(관리사무소 위치) 순국선열추념탑 서재필선생동상 독립관(순국선열 위패봉안소) 3?1독립선언기념탑 독립문 형무소 역사관 이진아기념도서관 ,,서대문구,서울특별시 서대문구 통일로251(독립공원),서대문구 통일로251,천연동,196318.22,452589.144,126.956771,37.5738289
22,낙산근린공원,201779㎥ ,2002.6.12,기반시설 : 관리도로 2920m 산책로 1010m 주차장 640㎡ 교양시설 : 역사탐방로 935m 비우당 27㎡ 홍덕이밭 50㎡ 건축시설 : 5동(전시및관리실 매점및화장실 비우당 육각정자 노인정) 운동시설 : 배드민턴장 12면 농구장 1면 편익시설 : 파고라 5종 의자 117개 음수대(6) 화장실2 광 장 : 5개소(중앙광장 놀이광장 전망광장 3개소) 기타시설 : 안내판 등 29개 ,수목식재 : 소나무 등 47종 107603주 지피식물 : 구절초 등 11종 43075본 ,종로구,서울특별시 종로구 낙산길 41 (우) 03085,종로구 낙산길 41,이화동,200631.301,453432.556,127.007587,37.580477
23,양재시민의숲,258991㎡   ,1986.11.30,조경시설 : 잔디광장 파고라 그늘시렁 운동시설 : 배구장(족구장 겸용) 농구장 테니스장 등 편익시설 : 매점 야외 바비큐장 음수대 화장실 5개소 등 기        타 : 야외 예식장 윤봉길의사 기념관 윤봉길의사 동상 야외무대 백마부대 충혼탑                      대한항공 858편 위령탑 삼풍백화점 희생자 위령탑 등 ,수 목 : 소나무 느티나무 당단풍 칠엽수 잣나무 등 43종 94800주,서초구,서울특별시 서초구 매헌로 99 (양재동),서초구 매헌로 99,양재제2동,203226.694,441171.435,127.035042,37.471225
24,관악산도시자연공원,10420819.08㎡,1968.1.15,낙성대 연주대 삼막사 관음사 관악산호수,특산식물 : 소사나무 호랑버들 매화말발도리 산앵도 산개나리 병꽃나무 회양목 긴잎회양목 산구절초 할미밀빵 토현삼 등 11종 희귀식물 : 산구절초 박주가리 용담 노루발풀 천연기념물 : 노거수 굴참나무 은행 느티 회나무 ,관악구,서울특별시 관악구 관악로 1(관악산공원),관악구 관악로 1,대학동,196801.464,438408.982,126.96413,37.445208
25,효창근린공원,171294.1㎥,1940.3.12,관리시설 : 관리사무소 공원등 안내판 편의시설 : 매점 공중전화 화장실 음수대 야외탁자 의자 시계탑 조경시설 : 자연학습장 연못 데크로드 운동시설 : 농구장 배드민턴장 게이트볼장 체력단련시설 유희시설 : 어린이놀이터 휴양시설 : 정자 파고라 교양(사적)시설 : 의열사 백범김구선생 묘역 삼의사묘역 임정요인묘역 백범기념관 이봉창의사 동상 반공투사 위령탑 원효대사상,수목 : 소나무 백철쭉 등 70여종 115139주 교목 : 소나무 등 30여종 34192주 관목 : 백철쭉 등 40여종 80947주 초화류 : 맥문동 등 30여종 570463본,용산구,서울특별시 용산구 효창원로 177-18,용산구 효창원로 177-18,효창동,196484.925,449520.541,126.95993,37.545234
26,감로천생태공원(관악산),총 15000㎡,2002.7.15,연못 3개소 목재 데크 황토길 지압로 공원등(12),수 목 : 물철쭉 진달래 생강나무 단풍나무 초 화 : 비비추 벌개미취 노루오줌 연꽃 물옥잠 붕어마름 골풀 개구리밥 갈대 ,금천구,서울특별시 금천구 독산4동 371?375 373일대,금천구 독산 4,독산제4동,191868.836,440976.325,126.9079509,37.469625
27,개운산근린공원,297926㎡,1995.5.3,공원이용지원센터 화장실 산책로(산마루길 목재데크산책로 오솔길 등) 자연학습장 지압보도 축구장 배드민턴장 족구장 정자 등,수 목 : 잣나무 참나무류 팥배나무 산벚나무,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),성북구 북악산로 949,돈암제1동,202301.921,455244.032,127.0252858,37.5965837
28,개웅산근린공원,411972㎡,1971.8.6,배드민턴장 철봉 허리돌리기 역기 등 운동기구,,구로구,서울특별시 구로구 오류동 산13-1,구로구 오류동 산 13-1,오류제2동,186361.511,443134.517,126.8485734,37.4888943
29,경희궁,98470㎡,2002,자정전 흥화문 (서울특별시 유형문화재 제19호) 숭정전,,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1),종로구 새문안로 55,사직동,197240.742,452357.669,126.9685341,37.570773
30,국립현충원,2038741.3㎡,1955.7.15,현충관 현충탑 충열대 충성분수대 호국분수탑 충혼승천상 휴게소,소나무 느티나무 은행나무 마가목 자작나무 무궁화 좀작살 라일락 산수유 구상나무 계수나무 단풍나무 아까시나무,동작구,서울특별시 동작구 사당2동 산41-2,동작구 사당2동 산 41-2,사당제2동,197554.306,444488.109,126.9736849,37.4998621
31,계남근린공원,603715.2㎡,1971.8.6,장군정(정상) 1동 다목적구장(실내 배드민턴장) 생태연결통로(계남12공원 연결) 조류사육장 1개소 야외무대 약수터 3개소 각종운동시설(게이트볼장 족구장 등) 화장실 2개동 ,소나무 참나무 잣나무,양천구,서울특별시 양천구 신정동 산44-2일대,양천구 신정동 산 44-2,신정제3동,186587.03,445953.762,126.8479643,37.5138358
32,고척근린공원,108120㎡,1988.12,도서관 어린이놀이터 배드민턴장 테니스장 운동장 조깅트랙 구민체육센터 운동기구 농구장,소나무 섬잣나무 계수나무 36종 16462주,구로구,서울특별시 구로구 고척로45길 39(고척공원),구로구 고척로 45길 39,고척제2동,186938.035,445175.775,126.8521495,37.5042944
33,파리근린공원,29619.3㎥,1987.6.30  ,분수(벽천 무지개 분수 곡사분수 바닥분수) 자수화단 야외무대 모형 에펠탑 개선문 등 각종 운동시설(체력단련장) 관리사무소(화장실) 1개동 공원등80개 등 ,,양천구,서울특별시 양천구 목동동로 363 ,양천구 목동동로 363,목제5동,189117.778,448369.561,126.8763932,37.5349739
34,허준공원,29843.8㎡ ,1993.10.31 ,연못(5100㎡) 정자 어린이 놀이 시설 허준 동상 음악분수 ,스트로브 잣나무 소나무 은행나무 느티나무 ,강서구,서울특별시 강서구 허준로5길 42,강서구 허준로5길 42,가양제2동,187079.658,452015.939,126.8526745,37.5679874
